    PID CMD
    823 avahi-daemon: chroot helper
    758 avahi-daemon: running [osc.local]
   4116 bash
     20 [cpuhp/0]
     21 [cpuhp/1]
    759 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
     52 [ecryptfs-kthread]
   1738 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   1591 gdm-session-worker [pam/gdm-password]
   3264 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
     19 [idle_inject/0]
     22 [idle_inject/1]
     42 [irq/9-acpi]
    286 [jbd2/dm-0-8]
    492 [jbd2/sda2-8]
     30 [kauditd]
     35 [kcompactd0]
     27 [kdevtmpfs]
     38 [khugepaged]
     31 [khungtaskd]
     36 [ksmd]
     16 [ksoftirqd/0]
     24 [ksoftirqd/1]
     51 [kswapd0]
      2 [kthreadd]
      8 [kworker/0:0-events]
     10 [kworker/0:0H-kblockd]
   4075 [kworker/0:1]
    894 [kworker/0:2H-kblockd]
    129 [kworker/0:2-inet_frag_wq]
    810 [kworker/0:3-events]
     25 [kworker/1:0-cgroup_destroy]
   4151 [kworker/1:0H-kblockd]
   4144 [kworker/1:1]
     50 [kworker/1:1H-kblockd]
   1612 [kworker/1:2H-kblockd]
   1063 [kworker/1:3-mm_percpu_wq]
     54 [kworker/R-acpi_]
     44 [kworker/R-ata_s]
     41 [kworker/R-blkcg]
     86 [kworker/R-charg]
    616 [kworker/R-crypt]
     48 [kworker/R-devfr]
     47 [kworker/R-edac-]
    287 [kworker/R-ext4-]
    493 [kworker/R-ext4-]
     28 [kworker/R-inet_]
     62 [kworker/R-ipv6_]
     40 [kworker/R-kbloc]
    247 [kworker/R-kdmfl]
     39 [kworker/R-kinte]
     71 [kworker/R-kstrp]
     53 [kworker/R-kthro]
     45 [kworker/R-md]
     46 [kworker/R-md_bi]
     61 [kworker/R-mld]
     12 [kworker/R-mm_pe]
      7 [kworker/R-netns]
      4 [kworker/R-rcu_g]
      5 [kworker/R-rcu_p]
     57 [kworker/R-scsi_]
